"","ocurrenceID","database","collectionCode","basisOfRecord","scientificName","genus","specificEpithet","eventDate","year","month","day","startDayOfYear","dayCode","phenology","buds","flowers","fruit","vegetative","unknown","phenologyNotes","generalNotes","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","picture","pictureChecked","inBCBrange","phenOne","phenTwo","phenThree","PhenFour","locationNotes","coordinateSource","coordinateUncertaintySource","compiler"
"976",15607780,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/24/1930",1930,8,24,236,1930236,"flowering","unknown","Y","N"," "," ","","","Indiana","Lagrange","Scott","",41.740981,-85.555898,2000,"Y","?","Y","Yes","Flowering","","","","town","best estimate","JA"
"977",15607784,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/31/1943",1943,8,31,243,1943243,"fruit","N","N","Y"," "," ","","","Indiana","Kosciusko","","North of Webster Lake",41.334132,-85.681423,1400,"Y","?","Y","Yes","Fruiting","","","","locality","best estimate","JA"
"978",15607787,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/15/1916",1916,9,15,259,1916259,"flowering","unknown","Y","N"," "," ","","","Indiana","Kosciusko","","south side of Tippecanoe Lake",41.326608,-85.763122,2200,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"979",15607792,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/22/1922",1922,9,22,265,1922265,"flowering and fruit","unknown","Y","Y"," "," ","","","Indiana","Jennings","","1 mile south of San Jacinto",38.941948,-85.497186,5241,"Y","?","Y","Yes","Both","","","","town+direction+distance","geolocate","JA"
"980",15607794,"MW","IND","specimen","Chelone glabra","Chelone","glabra","10/4/1947",1947,10,4,277,1947277,"flowering","unknown","Y","N"," "," ","","","Indiana","Jennings","","Illinois Drift Plain, west side of Rd. 3, 4 miles south of Rd. 7",38.802893,-85.52374,13000,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"981",15607798,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/16/1933",1933,9,16,259,1933259,"flowering and fruit??","unknown","Y","Y"," "," ","recheck phenology: very unsure","","Indiana","Jefferson","","Big Creek about 2.5 miles northeast of Ft. Donaldson",41.386766,-86.410047,3826,"Y","?","Y","Yes","Both","","","couldn't find locality","town+direction+distance","geolocate","JA"
"982",15607815,"MW","IND","specimen","Chelone glabra","Chelone","glabra","10/2/1926",1926,10,2,275,1926275,"flowering","unknown","Y","N"," "," ","","","Indiana","Jefferson","","sec. 19, 2 miles east of Foltz",38.785823,-85.438573,28137,"Y","?","Y","Yes","Flowering","","","PLSS","county","geolocate","JA"
"983",15607825,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/11/1924",1924,9,11,255,1924255,"flowering","unknown","Y","N"," "," ","","","Indiana","Jasper","","along roads",41.022998,-87.116121,37595,"Y","?","Y","Yes","Flowering","","","","county","geolocate","JA"
"984",15607829,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/27/1919",1919,9,27,270,1919270,"flowering","unknown","Y","N"," "," ","","","Indiana","Jackson","","about 0.5 mile southwest of Vallonia",38.841873,-86.10434,3272,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"985",15611938,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/22/1925",1925,9,22,265,1925265,"flowering and ?","maybe","Y","maybe"," "," ","recheck phenology: unsure","","Indiana","Sullivan","","about 2 miles northeast of Merom",39.076929,-87.541123,3051,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"986",15611940,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/24/1931",1931,9,24,267,1931267,"flowering and fruit","unknown","Y","Y"," "," ","","","Indiana","Starke","","S side of Koontz Lake",41.41197,-86.47376,1300,"Y","?","Y","Yes","Both","","","","locality","best estimate","JA"
"987",15611945,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/29/1929",1929,9,29,272,1929272,"flowering and fruit???","unknown","Y","Y"," "," ","recheck phenology: very unsure","","Indiana","Spencer","","3 miles north of Lamar",38.112717,-86.905549,6954,"Y","?","Y","Yes","Both","","","","town+direction+distance","geolocate","JA"
"988",15612006,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/29/1925",1925,9,29,272,1925272,"flowering and fruit","unknown","Y","Y"," "," ","","","Indiana","Spencer","","near Big Sandy Creek about 1.5 mi N of Grandview",37.954986,-86.969502,3112,"Y","?","Y","Yes","Both","","","","town+direction+distance+locality","geolocate","JA"
"989",15612010,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/4/1979",1979,9,4,247,1979247,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Shelby","","along SR44 between Rays Crossing and the Rush-Shelby county line between roadside and abandoned railroad right-of-way",39.562105,-85.650351,2000,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"990",15612015,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/4/1979",1979,9,4,247,1979247,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Shelby","","Along SR44 between Rays Crossing and the Rush-Shelby county line;ditch between roadside and railroad right of way",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"991",15612018,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/14/1929",1929,9,14,257,1929257,"flowering","unknown","Y","N"," "," ","","","Indiana","Saint Joseph","","Kane's woods about 3 1/2 mi. southeast of North Liberty",41.498341,-86.379327,3016,"Y","?","Y","Yes","Flowering","","","couldn't find locality","town+direction+distance","geolocate","JA"
"992",15612022,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/2/1944",1944,9,2,246,1944246,"flowering","unknown","Y","N"," "," ","","same day/close together, same phenology","Indiana","Randolph","","farm of Park Anderson in the center of Sec.36, 7 miles south of Union City",40.100537,-84.809129,10483,"Y","?","Y","Yes","Flowering","","","PLSS,  couldn't find exact locality","town+direction+distance","geolocate","JA"
"993",15612025,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/14/1923",1923,9,14,257,1923257,"flowering","unknown","Y","N"," "," ","","","Indiana","Porter","","just south of the dunes and 2 miles east of Tremont",41.648643,-87.004861,6033,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"994",15612026,"MW","IND","specimen","Chelone glabra","Chelone","glabra","11/14/1930",1930,11,14,318,1930318,"flowering","unknown","Y","N"," "," ","","","Indiana","Porter","","in the Dunes State Park near the Tremont Inn",41.668492,-87.020173,10000,"Y","?","Y","Yes","Flowering","","","couldn't find exact locality","locality","best estimate","JA"
"995",15612028,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/3/1954",1954,9,3,246,1954246,"flowering","unknown","Y","N"," "," ","","","Indiana","Parke","","two mile southwest of Grange Corner",39.919119,-87.213544,3000,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"996",15612029,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/22/1917",1917,9,22,265,1917265,"flowering","unknown","Y","N"," "," ","","","Indiana","Owen","","about 5 mi SE of Spencer",39.235443,-86.69629,5228,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"997",15612031,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/25/1914",1914,8,25,237,1914237,"flowering","unknown","Y","N"," "," ","","","Indiana","Noble","","west side of Deep Lake about 1 mile south of Wolf Lake",41.331293,-85.48199,3000,"Y","?","Y","Yes","Flowering","","","wolf lake isn’t south of deep lake","locality","best estimate","JA"
"998",15612033,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/7/1929",1929,9,7,250,1929250,"flowering and ???","maybe","Y","maybe"," "," ","recheck phenology: very unsure","","Indiana","Montgomery","","Sugar Creek about 1 mi. west of Darlington",40.110977,-86.791262,3179,"Y","?","Y","Yes","Flowering","","","","town+direction+distance+locality","geolocate","JA"
"999",15612034,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/13/1930",1930,9,13,256,1930256,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Morgan","Waverly","",39.556992,-86.271379,3036,"Y","?","Y","Yes","Flowering","","","","town","geolocate","JA"
"1000",15612036,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/8/1931",1931,9,8,251,1931251,"flowering","unknown","Y","N"," "," ","","","Indiana","Monroe","","Salt Creek Township, Station C.",39.119686,-86.39853,7300,"Y","Y","Y","Yes","Flowering","","","couldn't find locality, used town","town","best estimate","JA"
"1001",15612037,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/1/1930",1930,9,1,244,1930244,"flowering","unknown","Y","N"," "," ","","","Indiana","Monroe","Bloomington","Salt Creek, Bloomington",39.064792,-86.440495,14000,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1002",15612039,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/14/1930",1930,9,14,257,1930257,"flowering","unknown","Y","N"," "," ","","","Indiana","Monroe","Bloomington","Salt Creek, Bloomington, Ind.",39.064792,-86.440495,14000,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1003",15612040,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/11/1928",1928,9,11,255,1928255,"flowering","unknown","Y","N"," "," ","","","Indiana","Miami","","about 1/2 mile south of Reserve",40.653313,-86.142993,42000,"Y","?","Y","Yes","Flowering","","","assuming reserve is air force reserve, but used uncertainty for county","locality","best estimate","JA"
"1004",15612042,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/14/1921",1921,9,14,257,1921257,"flowering","unknown","Y","N"," "," ","","","Indiana","Marshall","","SW side of Lake Maxinkuckee",41.190606,-86.409771,1700,"Y","?","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1005",15612047,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/11/1916",1916,9,11,255,1916255,"flowering","unknown","Y","N"," "," ","","","Indiana","Whitley","","south side of Blue River Lake",41.237378,-85.360598,37000,"Y","?","Y","Yes","Flowering","","","not sure if right lake, so used uncertainty for county","locality","best estimate","JA"
"1006",15612049,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/12/1905",1905,9,12,255,1905255,"flowering and ?","maybe","Y","maybe"," "," ","recheck phenology: unsure","","Indiana","Wells","","Winter's woods .25 mi. south of Bluffton",40.735035,-85.171637,5004,"Y","?","Y","Yes","Flowering","","","couldn't find locality","town+direction+distance","geolocate","JA"
"1007",15612054,"MW","IND","specimen","Chelone glabra","Chelone","glabra","7/25/1897",1897,7,25,206,1897206,"flowering","unknown","Y","N"," "," ","","","Indiana","Wells","","1/2 mile south of Bluffton",40.731412,-85.171637,5289,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"1008",15612058,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/2/1910",1910,9,2,245,1910245,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Wayne","","0.75 miles south of Williamsburg",39.940009,-84.996352,3510,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"1009",15612573,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/2/1910",1910,9,2,245,1910245,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Wayne","","about 3/4 mile south of Williamsburg",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"1010",15612577,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/15/1920",1920,9,15,259,1920259,"flowering","unknown","Y","N"," "," ","","","Indiana","Warren","","Pine Creek about 1.5 miles south of Rainsville",40.397758,-87.328435,4260,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"1011",15612580,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/16/1926",1926,9,16,259,1926259,"flowering","unknown","Y","N"," "," ","","","Indiana","Wabash","","3 1/2 mi. south of Disko",40.951546,-85.944436,6272,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"1012",15612586,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/23/1982",1982,9,23,266,1982266,"flowering","unknown","Y","N"," "," ","","","Indiana","Wabash","","2 miles No. of No. Man - T30N, R7E, S20, NE1/4",41.029583,-85.768597,6124,"Y","?","Y","Yes","Flowering","","","PLSS","town+direction+distance","geolocate","JA"
"1013",15612588,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/13/1993",1993,9,13,256,1993256,"flowering","unknown","Y","N"," "," ","","","Indiana","Wabash","","Swank Creek floodplain; T30N R7E Sec. 28, NW 1/4",41.030527,-85.760046,2000,"Y","?","Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1014",15612596,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/18/1915",1915,9,18,261,1915261,"flowering and fruit","unknown","Y","Y"," "," ","","","Indiana","Union","","1 mi. north and 1 mi. east of Philomath",39.738429,-84.996947,5241,"Y","?","Y","Yes","Both","","","","town+direction+distance","geolocate","JA"
"1015",15612604,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/3/1902",1902,9,3,246,1902246,"flowering","unknown","Y","N"," "," ","","","Indiana","Tippecanoe","","south of Iron Bridge over Wildcat Creek",40.437074,-86.803869,15000,"Y","?","Y","Yes","Flowering","","","couldn't find exact locality","locality","best estimate","JA"
"1016",15612609,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/11/1930",1930,9,11,254,1930254,"flowering and ???","maybe","Y","maybe"," "," ","recheck phenology: very unsure","same day/close together, different phenology?","Indiana","Tippecanoe","","about 2 mi S of Battle Ground",40.479383,-86.841676,5714,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","geolocate","JA"
"1017",15612616,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/20/1953",1953,9,20,263,1953263,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Tippecanoe","","three miles west of West Point",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"1018",15612621,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/20/1953",1953,9,20,263,1953263,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Indiana","Tippecanoe","","3 miles west of West Point",40.345524,-87.099898,2000,"Y","?","Y","Yes","Flowering","","","","town+direction+distance","best estimate","JA"
"1019",15613192,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/18/1926",1926,9,18,261,1926261,"flowering","unknown","Y","N"," "," ","","","Quebec","","","cartierville, bois humides su bord de la riviere",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"1020",15613198,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/28/1933",1933,8,28,240,1933240,"flowering","unknown","Y","N"," "," ","","same day/place, same phenology","Tennessee","Claiborne","","powell river bank near virginia state line",36.597198,-83.321529,5000,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1021",15613200,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/12/1928",1928,9,12,256,1928256,"flowering","unknown","Y","N"," "," ","","","Pennsylvania","Butler","","along Connoquenessing creek, at Ribold, on BcD R.R.",40.798183,-79.99253,200,"Y","Y","Y","Yes","Flowering","","","","provided","provided","JA"
"1022",15613202,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/18/1926",1926,9,18,261,1926261,"flowering","unknown","Y","N"," "," ","","same day/place, some have different phenology","Pennsylvania","Delaware","Darling","along chester creek s.w. of station",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","","","","JA"
"1023",15613203,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/23/1957",1957,9,23,266,1957266,"flowering","unknown","Y","N"," "," ","","","North Carolina","Transylvania","","us highway 276 near looking glass falls",35.296341,-82.769516,300,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1024",15613204,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/26/1929",1929,8,26,238,1929238,"flowering and ?","maybe","Y","maybe"," "," ","recheck phenology: unsure","","Michigan","","","bass lake",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","not specific enough","","","JA"
"1025",15613206,"MW","IND","specimen","Chelone glabra","Chelone","glabra","8/26/1926",1926,8,26,238,1926238,"flowering","unknown","Y","N"," "," ","","","Michigan","","","bass lake",NA,NA,NA,"Y","Y","Y","Yes","Flowering","","","not specific enough","","","JA"
"1026",15613208,"MW","IND","specimen","Chelone glabra","Chelone","glabra","10/10/1941",1941,10,10,283,1941283,"flowering and ?","maybe","Y","maybe"," "," ","recheck phenology: unsure","","Kentucky","Whitley","","base of wooded slope along the cumberland river near the falls",36.838097,-84.343683,800,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"1027",15613211,"MW","IND","specimen","Chelone glabra","Chelone","glabra","9/27/1940",1940,9,27,271,1940271,"flowering","unknown","Y","N"," "," ","","same day/place, different phenology?","Kentucky","Letcher","Whitesburg","",37.118432,-82.826826,3410,"Y","Y","Y","Yes","Flowering","","","","town","geolocate","JA"
"1028",14455062,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/22/1960",1960,8,22,235,1960235,"flowering","unknown","Y","N"," "," ","","","Ohio","Stark","Plain","Swamp, Plain Twp. Sec. 27 along Nimishillen Creek.",40.839472,-81.407373,3300,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1029",14455113,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/12/1960",1960,9,12,256,1960256,"flowering","unknown","Y","N"," "," ","","","Ohio","Stark","Jackson","Bog, Jackson Twp., E 1/2 Sec. 20.",40.866551,-81.4938,7700,"N",NA,"Y","Yes","Flowering","","","PLSS","town","best estimate","JA"
"1030",14456964,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/28/1982",1982,8,28,240,1982240,"flowering","unknown","Y","N"," "," ","","","Ohio","Hocking","Laurel","Wet marshy depressions on bottoms; Crane Hollow, 10 mi SW of Logan, E 1/2 S33, T12N R18W, Laurel Twp.",39.466803,-82.572899,1000,"N",NA,"Y","Yes","Flowering","","","","PLSS","best estimate","JA"
"1031",14456990,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/8/1979",1979,9,8,251,1979251,"flowering","unknown","Y","N"," "," ","","","Ohio","Stark","Lawrence","Frequent; calcareous seepage area on S side of sandy hill, E of Ohio-Erie Canal, S of Butterbridge Rd., S 1/2 Sec. 23, Lawrence Twp.",40.859065,-81.556209,2000,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1032",14460220,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/10/1979",1979,9,10,253,1979253,"flowering","unknown","Y","N"," "," ","","","Ohio","Clark","Springfield","ODNR Flora of Ohio; frequent; fen along small stream; E, Redmond Rd., 0.15 mi S, US. Rt. 40, Sect. 5, Springfield Twp.",39.923053,-83.704113,1600,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1033",14460855,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/20/1976",1976,9,20,264,1976264,"flowering","unknown","Y","N"," "," ","","","Ohio","Jackson","Liberty","Swampy woods along stream; ""White's Gulf""; Co. Rt. 25, 1 1/2 mi SE, Co. Rt. 58, Sect. 17, Liberty Twp.",39.072188,-82.727262,6000,"N",NA,"Y","Yes","Flowering","","","PLSS,  couldn't find exact locality","locality","best estimate","JA"
"1034",14461546,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/19/1977",1977,9,19,262,1977262,"flowering","unknown","Y","N"," "," ","","","Ohio","Trumbull","","Frequent on gorge bottom, Mill Creek Gorge, 2 mi N of Mesopotamia, NW 1/4 Mesopotamia Twp.",41.48835,-80.954338,6033,"N",NA,"Y","Yes","Flowering","","","PLSS","town+direction+distance+locality","geolocate","JA"
"1035",14462929,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/26/1967",1967,8,26,238,1967238,"flowering","unknown","Y","N"," "," ","","","Ohio","Geauga","","Growing at NE edge of Geauga Lake",41.350578,-81.370735,300,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1036",14463340,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/23/1978",1978,8,23,235,1978235,"flowering","unknown","Y","N"," "," ","","","Ohio","Portage","Nelson","Common; moist roadside ditch on N side of Newell's Ledges, SW corner of the intersection of Twp. Rd. 295 and Co. Rd. 297, NW 1/4 Sec. 46, Nelson Twp.",41.333432,-81.036242,1000,"N",NA,"Y","Yes","Flowering","","","PLSS,  couldn't find exact locality","locality","best estimate","JA"
"1037",14463642,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/19/1965",1965,8,19,231,1965231,"flowering","unknown","Y","N"," "," ","","","Ohio","Medina","Sharon","Marsh, St. Rt. 162, 1 mi E Sharon Center, Sharon Twp.",41.093766,-81.71879,700,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1038",14463828,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/31/1972",1972,8,31,244,1972244,"flowering","unknown","Y","N"," "," ","","","Ohio","Ashtabula","Windsor","among rubble under campfire circle; 4-H Camp Whitewood, Wiswell Rd., 0.5 mi S US Rt. 322, Windsor twp",41.528351,-80.966482,500,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1039",14465620,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/12/1969",1969,8,12,224,1969224,"flowering","unknown","Y","N"," "," ","","","Quebec","Nicolet","","Moist, weedy ground at edge of concrete bridge base, SW side of intersection of Rt. 3 and River Godefroy, ca. 3 mi W of Laval (St. Angele de Laval), Comte de Nicolet, Quebec.",NA,NA,NA,"N",NA,"Y","Yes","Flowering","","","","","","JA"
"1040",14466628,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/25/2002",2002,8,25,237,2002237,"flowering","unknown","Y","N"," "," ","","","Ohio","Portage","","Jennings Woods off of McCormick Rd. NE of Ravenna; near front of property. Infrequent. Semi-disturbed floodplain.",41.177479,-81.1727,4000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1041",14466653,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/31/1977",1977,8,31,243,1977243,"flowering","unknown","Y","N"," "," ","","","Ohio","Wayne","Milton","Infrequent; marshy area between Twp. Rd. 427 and RR tracks, NE 1/4 Sec. 8, Milton Twp.",40.967767,-81.841164,900,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1042",14466959,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/9/1967",1967,8,9,221,1967221,"flowering","unknown","Y","N"," "," ","","","West Virginia","Greenbrier","","Rich, moist roadside ditch at entrance to Summit Lake along dirt road leading from Rt. 39, about 12 mi W of Mill Point",38.247532,-80.437123,2000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1043",14467132,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/6/1978",1978,9,6,249,1978249,"flowering","unknown","Y","N"," "," ","","","Ohio","Miami","Bethel","ODNR Flora of Ohio; frequent; fen on N & W sides of Silver Lake; W, Scarff Rd., S 1/2 Sect. 6, Bethel Twp.",39.957135,-84.055476,600,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1044",14467225,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/3/1991",1991,9,3,246,1991246,"flowering and fruit","unknown","Y","Y"," "," ","","","Ohio","Columbiana","Knox","Frequent, roadside, low wet area, W side of Twelfth St, Twp Rd 708; 0.1 mi N of Mountz Rd, Twp Rd 808; SE 1/4 Sect 34, Knox Twp.",40.815737,-81.015989,2000,"N",NA,"Y","Yes","Both","","","PLSS","locality","best estimate","JA"
"1045",14467854,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/21/1967",1967,9,21,264,1967264,"flowering","unknown","Y","N"," "," ","","","Ohio","Carroll","Brown","Along stream in rich woods; St Rt 171, 0.25 mi SE, Stark County line, NW 1/4 of Sect 26, Brown Twp.",40.719624,-81.212575,11000,"N",NA,"Y","Yes","Flowering","","","PLSS,  couldn't find exact locality","locality","best estimate","JA"
"1046",14467899,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/18/1956",1956,9,18,262,1956262,"flowering","unknown","Y","N"," "," ","","","Iowa","Clinton","Hampshire","Rich, seeping marsh surrounded by woods, SE 1/4 Sec. 2, Hampshire Twp.",NA,NA,NA,"N",NA,"Y","Yes","Flowering","","","PLSS","","","JA"
"1047",14469538,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/10/1966",1966,8,10,222,1966222,"flowering","unknown","Y","N"," "," ","","","Maine","Hancock","Seal Harbor","Open, marshy slope in city park at Seal Harbor on Mount Desert Island.",44.303136,-68.240292,3036,"N",NA,"Y","Yes","Flowering","",""," couldn't find locality, used town","town","geolocate","JA"
"1048",14470098,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/15/1965",1965,9,15,258,1965258,"flowering and fruit","unknown","Y","Y"," "," ","","","North Carolina","Avery","","Moist, weedy roadside along Rt. 194, 2 mi SE of Elk Park. ",36.140596,-81.948877,3036,"N",NA,"Y","Yes","Both","","","","town+direction+distance+locality","geolocate","JA"
"1049",14470329,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/15/1960",1960,9,15,259,1960259,"flowering","unknown","Y","N"," "," ","","","Ohio","Columbiana","Yellow Creek","Rocky ground along creek running through rich, wooded ravine, SW 1/4 Sec. 24, Yellow Creek Twp.",40.574509,-80.667575,3036,"N",NA,"Y","Yes","Flowering","","","PLSS","town","geolocate","JA"
"1050",14470341,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/18/1933",1933,8,18,230,1933230,"flowering","unknown","Y","N"," "," ","","","Ohio","Geauga","","",41.499542,-81.178655,31345,"N",NA,"Y","Yes","Flowering","","","","county","geolocate","JA"
"1051",14470416,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/23/1973",1973,9,23,266,1973266,"flowering","unknown","Y","N"," "," ","","","Ohio","Knox","Middlebury","Open, wet, roadside ditch along Markley Run, 1/2 mi E of Palmyra, NE 1/4 Sec. 6, Middlebury Twp.",40.536888,-82.534204,3479,"N",NA,"Y","Yes","Flowering","","","PLSS","town+direction+distance+locality","geolocate","JA"
"1052",14471122,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/4/1964",1964,9,4,248,1964248,"flowering","unknown","Y","N"," "," ","","","Ohio","Columbiana","Butler","In shaded ground near bog meadow at ""Watercress Marsh,"" 6 mi SW of Salem, along Rt. 9, Secs. 33 & 34, Butler Twp.",40.820176,-80.919427,700,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
"1053",14472588,"MW","KE","specimen","Chelone glabra","Chelone","glabra","8/27/1966",1966,8,27,239,1966239,"flowering","unknown","Y","N"," "," ","","","Virginia","Madison","","Common in swampy area of the Big Meadows, E of the Skyline Drive, Shenandoah National Park.",38.525131,-78.41988,2000,"N",NA,"Y","Yes","Flowering","","","","locality","best estimate","JA"
"1054",14473243,"MW","KE","specimen","Chelone glabra","Chelone","glabra","9/25/1980",1980,9,25,269,1980269,"flowering","unknown","Y","N"," "," ","","","Ohio","Ashland","Hanover","Scarce; moist hemlock wooded ravine sides and floodplains on S side of Clear Fork by Lyons Falls Trail, Mohican State Park, SE 1/4 Sec. 7, Hanover twp",40.616017,-82.320049,500,"N",NA,"Y","Yes","Flowering","","","PLSS","locality","best estimate","JA"
